اني احبك او اتمناك زوجتي ، او اني	مشتاق	اليك ؟. 4ـ هل يجوز ان امدحها واقول لها عبارات:
رسائل الهاتف النقال وموقع الفيسبوك ان زوجتي على	علاقة	باشخاص آخرين ، و بعد ان واجهتها اعترفت بنسجها علاقتين ، ونحن
تلك اللحظة ، وهذا لا ينفي ولا يؤكد	ذكري	للفظ الطلاق ، مع العلم ان زوجتي اكدت لي انني لم اذكر
بعد العقد عبر الهاتف ؛ نظرًا لان زوجتي	اشتاقت	لي وانا كذلك, وهذه الصور فيها صوري وانا عارٍ وهي كذلك
يثور ، ويغضب ، ويطلب طلبات ليس لها	علاقة	بالمشكلة ، ولم نتفق عليها مسبقًا فذهبت اليه ، واعتذرت له عما
تاثير عليه ، فكان قد اخبرهم جميعًا ان	رغبة	الانفصال من زوجتي في الاساس. وكان قد سمح لي بجلسة واحدة
بجلسة واحدة فقط مع زوجتي ليس اكثر ،	رغبة	الانفصال من زوجتي في الاساس. وكان قد سمح لي بجلسة واحدة
زميلي في حكم ما حدث بيننا من معاشرة	جنسية	عبر الهاتف ؟. رزقت بابن وبنت من زوجتي ، وبعد 12عامًا
واكتشفت من خلال جوال زوجتي انها كانت على	علاقة	مع اثنين من زملائها من خلال المراسلات ، والكلام. واكتشفت على
من خلال المراسلات ، والكلام. واكتشفت على	علاقة	مع اثنين من زملائها من خلال المراسلات ، والكلام. واكتشفت ايضا
، او امي ، واقول: زوجتي لا	ترغب	في اكمال دراستها ، وقد بينت بصوت اسمعه ، واتخيل اني اتكلم
، او امي ، واقول: زوجتي لا	ترغب	في اكمال دراستها ، وقد بينت لها فوائد الدراسة ولم تقتنع ،
عموم المسلمين. هل الحليب الذي يخرج من	ثدي	زوجتي التي اسقطت حملها قبل اسبوع وهو في شهره الرابع تقريبا ياخذ
الطلاق ؟ حلفت على زوجتي يمين الطلاق اذا	جامعتها	خلال اسبوعين ، لانني كنت غاضبا جدا من حماقتها ، وخلال ،
وخلال ، وخلال هذه المدة استمتعت بها دون	جماع	، فهل يعتبر هذا طلاقا ؟. زوجتي من اصل عربي حيث
بتشديد الطاء وفتحها ـ فما بفتواه ؟.	ارغب	في شراء سيارة قديمة واعادة بيعها مرة اخرى للتجارة ، ولكن زوجتي
لكن ليس بنية طلاق زوجتي الحالية ، طلاق	واقع	؟ هل هذا يعتبر طلاقا وقع فعلا ام انه كذب ؟ انه
تعتبر زوجتي تلك طالقا ، مع اني لا	ارغب	في طلاقها ولي منها خمسة اطفال ، ومع سؤالي غير واضح كفاية
ما وصفت لفضيلتكم - نظرة بشهوة ام بدون	شهوة	؟ علمًا ان زوجتي قد نفت ذلك عندما سالتها, وانهارت بالبكاء
زوجتي وقلت لها ان جامعتك فانت طالق وقد	جامعتها	ودفعت كفارتي ـ اطعام عشرة مساكين ـ في ميزان حسناتكم ، وارجو
الذي يوجد اسفل الكثير من المواقع ؟.	ارغب	في شراء منزل بالتقسيط وتسجيله باسم زوجتي اكراما لها ، فما الحكم
السلام عليكم ورحمة الله وبركاته باختصار شديد زوجتي	خانتني	لمدة طويلة وحالياً تابت ورجعت الى الله وندمت على ما فعلت لا
من تلك الفتاة ولكنها رفضت ، بقيت على	علاقة	بتلك الفتاة من الزواج من تلك الفتاة ولكنها رفضت ، بقيت على
من تلك الفتاة ولكنها رفضت ، بقيت على	علاقة	بتلك الفتاة من دون علم زوجتي وكنا نلتقي بين الفينة والاخرى ،
الآن وانزلت على فخذها ، فهل هذا يعتبر	زنا	موجبا للحد ام انها زوجتي ، وهل يجب علي ان اتزوجها ان
لم تكن زوجتي ، وما العمل اذا رفض	زنا	موجبا للحد ام انها زوجتي ، وهل يجب علي ان اتزوجها ان
ان كانت مع شخص او كانت في موضع	خيانة	ماذا سيكون رد فعلي حينها. ارجوكم اريد الجواب هل حجي صحيح
بها صرحت لي بان عضوي الذكري اصغر من	عضو	الرجل الذي كانت فمثلا زياراتي لهن خفيفة جدا تكاد ان تكون مرة
خريجة كلية الشريعة تطلب مني ان اشاهدها وهي	ترقص	على الاغاني والموسيقى بحجة ان اكف بهذه الـ 25 الفاً ؟ وجزاكم
، مع انني اعلم و كذلك زوجتي التي	ترغب	بان تسميه " احمد " ، بان خير الاسماء ما عبّد و
، لكن رغم ذلك لا تريد زوجتي اقامة	علاقة	مع والدتها لسبب المحافظ ، انا لم امنع زوجتي من زيارة والدتها
، لكن رغم ذلك لا تريد زوجتي اقامة	علاقة	مع والدتها لسبب تنغيصها المستمر لحياتنا ، سؤالي هو: هل يجب
حيث اننا وجدنا انني كنت اعاني ايضاً من	سحر	محبة قد تم عمله من حيث اننا وجدنا انني كنت اعاني ايضاً
حيث اننا وجدنا انني كنت اعاني ايضاً من	سحر	محبة قد تم عمله من اخت زوجتي لي ، ومن الله علي
