"من لها: اذهبي الى بيت ابيك ولا	حاجة	لي بك ، وعندي منها اولاد. زوجي مدمن حبوب مخدرة ،",,,
"انه يتعاطى المخدرات وشارب خمر ، من غير	قصد	ولا نية. انا في الملكة منذ 4 سنوات ، وعلمت ان",,,
"ولكن قلبي مع ذلك لا يشعر اتجاهه لا	اتمنى	زواج احد حتى يكون هذا سبب عدم ارتياحي فما الحكم في امتناعي",,,
"وبعد عقد القران حافظت على بكارتي اكثر ولكني	ارغب	في اللقاء مع زوجي ولا يحدث بيننا الا ملامسة خارجية تؤدي الى",,,
"حلا لهذا الوضع. 5ـ هل يجوز اذا	اراد	الزوج التنازل عن العصمة لزوجته اذا اراد الزوج التنازل عن العصمة لزوجته",,,
"اذا اراد الزوج التنازل عن العصمة لزوجته اذا	اراد	الزوج التنازل عن العصمة لزوجته لكي يحمي زواجه من يمين الطلاق ؟",,,
"امراة سؤال الرجل عن كل لفظ كناية ماذا	قصد	منه ام لا ؟ والاثم عليه. زوجي في الفترة الاخيرة صار",,,
"محرجة جدا واشعر بعذاب نفسي ؛ لان قلبي	يميل	لشخص مع بنفسها لمواطن سعودي زواج مسيار على اساس ان عمرها يفوق",,,
"يعطيني ، ثم تراجع في في عائلتي.	اتمنى	ان تجيبوني على طريقتي هذه بالتحديد ولكم جزيل الشكر والتقدير. زوجي",,,
"زواجنا وعندما حان الوقت لزواج اخي زوجي ابراهيم	طلب	من ابراهيم المبلغ لاخي زوجي الاكبر لتكاليف زواجنا وحقا تم زواجنا وعندما",,,
"زواجنا وعندما حان الوقت لزواج اخي زوجي ابراهيم	طلب	من زوجي 50000 التي اعطاها لاخيه الاكبر وليس لزوجي فماذا نفعل ؟",,,
"",,,
"عندما يكون زوجي بقربي لا اتمناه بل العكس	اتمنى	ذلك الرجل علما ان ذلك الشخص الذي احببته حاول ان انساه او"," وبعدما تعرفت اليه لم اجد فيه ما	اتمنى	ان يكون في زوجي", وصحيح اني لم انشا في عائلة محافظة,
"نفقة اكره الرجال من كثرة ملاحقتهم لي واحيانا	اتوق	اليهم فانا اعمل بشركة وهم يعرفون ان زوجي مسافر وكثيراً ما ردعتهم",,,
"واخاف ان اغضب ربي ، فهل يحق لي	طلب	الطلاق من زوجي بسبب عدم عدله من الناحية المادية ، ولكل ما",,,
"لله ثم منكم الرد في اقرب فرصة.	طلب	مني زوجي ان لا افشي سرا معينا وقال: من تقول هذا",,,
"متزوجة وحامل بالشهر الخامس زوجي دكتور اسنان ،	اتمنى	ان ارتدي النقاب مع العلم اني محجبة من 13 سنة ، تواجدي",,,
"الانعزال عن الجميع ، وتزوجت مع انني لا	ارغب	في زوجي. واشعر بالاختناق في داخلي. اشكو الى الله ضعفي",,,
"التقدم لطلب الهجرة لامريكا ، وبناء على هذا	اراد	مني الرسول صلى الله عليه وسلم وشكـــــــرا انا مصرية مقيمة مع زوجي",,,
"التقدم لطلب الهجرة لامريكا ، وبناء على هذا	اراد	مني الذهاب للتصوير بمواصفات معينة يظهر لانها قاصر قانونيا ولا يمكن طردها",,,
"غضب زوجي وقال لي بسبب فعل ما عن	قصد	وقال: علي الطلاق بالثلاثة لو عملت كده ؟ نص السؤال:",,,
"الذي حلفه ووالدتي مقيمان في مصر وهم في	حاجة	للمال وانا اريد ان ابعث لهم مع ان زوجي لا يريد ،",,,
"بيننا حتى في الفراش ، فهل يحق لي	طلب	الطلاق منا يجب يكون له حياته وكفاية على ما قدمته لها من",,,
"ان تدلوني على الطريق الصحيح.. حيث	طلب	مني زوجي ذات مرة مجامعتي وكنت احس بالآلام في بطني ولكني اخبرته",,,
"اهله وخصوصا 5آلاف جنيه ، وكانت من قبل	تريد	ان تزوج ابنا لها ، وكانت تلح على زوجي ان يبني لها",,,
